Item code,Banner data,Comments item code
190099,"{'sats': '309 sats', 'boost': None, 'comments': '1 reply', 'author': 'OriginalSize', 'tag': 'bitcoin', 'timestamp': '2023-06-08 20:25:42'}",[190107]
28201,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'k00b', 'tag': 'bitcoin', 'timestamp': '2022-05-13 21:04:50'}",[28212]
167930,"{'sats': '73 sats', 'boost': None, 'comments': '0 replies', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2023-04-21 19:01:37'}",[]
119689,"{'sats': '99 sats', 'boost': None, 'comments': '2 replies', 'author': 'chungkingexpress', 'tag': 'bitcoin', 'timestamp': '2023-01-09 11:10:14'}","[119956, 119989]"
10361,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'plebpegasus', 'tag': 'bitcoin', 'timestamp': '2022-02-05 22:17:13'}",[]
124347,"{'sats': '193 sats', 'boost': None, 'comments': '0 replies', 'author': 'KatieTheRussian', 'tag': 'bitcoin', 'timestamp': '2023-01-19 17:24:57'}",[]
9971,"{'sats': '0 sats', 'boost': None, 'comments': '6 replies', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2022-02-03 17:25:34'}",[9973]
165119,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'criptopanas', 'tag': 'bitcoin', 'timestamp': '2023-04-15 07:28:51'}",[]
193381,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'SteveZissou', 'tag': 'bitcoin', 'timestamp': '2023-06-14 17:03:31'}",[]
154312,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'random', 'tag': 'bitcoin', 'timestamp': '2023-03-20 07:50:56'}",[]
128142,"{'sats': '30 sats', 'boost': None, 'comments': '6 replies', 'author': 'siggy47', 'tag': 'bitcoin', 'timestamp': '2023-01-29 11:18:34'}","[128182, 128189, 128164, 128165, 128170, 128172]"
29126,"{'sats': '4 sats', 'boost': None, 'comments': '2 replies', 'author': 'ideasourcing', 'tag': 'bitcoin', 'timestamp': '2022-05-17 13:01:55'}","[29128, 29315]"
31240,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'Ge', 'tag': 'bitcoin', 'timestamp': '2022-05-24 17:51:31'}",[]
11977,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'KenyaCoin', 'tag': 'bitcoin', 'timestamp': '2022-02-19 17:15:34'}",[11979]
196507,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'hilokj', 'tag': 'bitcoin', 'timestamp': '2023-06-20 13:36:35'}",[]
147461,"{'sats': '1957 sats', 'boost': None, 'comments': '0 replies', 'author': 'Chep', 'tag': 'bitcoin', 'timestamp': '2023-03-05 02:20:31'}",[]
92408,"{'sats': '303 sats', 'boost': None, 'comments': '4 replies', 'author': 'iguano', 'tag': 'bitcoin', 'timestamp': '2022-11-11 01:43:15'}","[92560, 92621, 93772, 92472]"
117932,"{'sats': '27 sats', 'boost': None, 'comments': '8 replies', 'author': 'Eximpius', 'tag': 'nostr', 'timestamp': '2023-01-05 17:36:04'}","[117936, 117938, 117948, 117951, 118401, 118420, 117950, 117955]"
111678,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'nym', 'tag': 'bitcoin', 'timestamp': '2022-12-25 10:08:52'}",[]
98581,"{'sats': '5 sats', 'boost': None, 'comments': '0 replies', 'author': 'mf', 'tag': 'bitcoin', 'timestamp': '2022-11-25 12:24:42'}",[]
66051,"{'sats': '5 sats', 'boost': None, 'comments': '0 replies', 'author': 'TheBTCManual', 'tag': 'bitcoin', 'timestamp': '2022-09-03 15:14:06'}",[]
174904,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'kepford', 'tag': 'bitcoin', 'timestamp': '2023-05-06 18:42:16'}",[175032]
150463,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'REDACTED', 'tag': 'bitcoin', 'timestamp': '2023-03-10 15:24:27'}",[]
157125,"{'sats': '0 sats', 'boost': None, 'comments': '0 replies', 'author': 'nym', 'tag': 'bitcoin', 'timestamp': '2023-03-26 14:09:41'}",[]
46008,"{'sats': '100 sats', 'boost': None, 'comments': '1 reply', 'author': 'tomlaies', 'tag': 'bitcoin', 'timestamp': '2022-07-16 15:21:43'}",[46091]
59260,"{'sats': '31 sats', 'boost': None, 'comments': '5 replies', 'author': 'el', 'tag': 'bitcoin', 'timestamp': '2022-08-15 22:15:46'}","[59269, 59327, 59376, 59275, 59274]"
163248,"{'sats': '0 sats', 'boost': None, 'comments': '1 reply', 'author': 'DarthCoin', 'tag': 'bitcoin', 'timestamp': '2023-04-11 09:41:14'}",[163368]
124463,"{'sats': '17 sats', 'boost': None, 'comments': '2 replies', 'author': 'calle', 'tag': 'bitcoin', 'timestamp': '2023-01-19 23:36:10'}","[124585, 124605]"
58290,"{'sats': '0 sats', 'boost': None, 'comments': '4 replies', 'author': 'notgeld', 'tag': 'bitcoin', 'timestamp': '2022-08-12 19:27:12'}","[58322, 58565, 58623, 58376]"
70871,"{'sats': '66 sats', 'boost': None, 'comments': '1 reply', 'author': 'faithandcredit', 'tag': 'bitcoin', 'timestamp': '2022-09-16 16:56:34'}",[70872]
